Recipient,Category,Grant,FY14
East Lyme,Education,Education Cost Sharing,7128356
East Lyme,Education,Public School Transportation,52267
East Lyme,Education,Youth Service Bureaus,27266
East Lyme,Education,Adult Education,15692
East Lyme,Property Tax,Colleges &amp; Hospitals PILOT,40547.95
East Lyme,Property Tax,Elderly Circuit Breaker,102889.18
East Lyme,Property Tax,State Property PILOT,933077.47
East Lyme,Property Tax,Veterans' Exemption,24020.09
East Lyme,Property Tax,Disability Exemption,1275.52
East Lyme,Property Tax,Pequot Grants,329119.07
East Lyme,Property Tax,Grants For Municipal Projects,21107
East Lyme,Capital Projects/Transportation,LoCIP,119562
East Lyme,Capital Projects/Transportation,Town Aid Road,320772.11
East Hampton,Education,Child Nutrition State Match,4674
East Hampton,Education,School Construction,143273.26
East Hampton,Education,School Breakfast,8333
East Hampton,Education,Excess Cost- Student Based,554931
East Hampton,Education,Education Cost Sharing,7711108
East Hampton,Education,Public School Transportation,91276
East Hampton,Education,Youth Service Bureaus,21074
East Hampton,Education,Adult Education,20061
East Hampton,Public Health/Social Services,Healthy Foods Initiative,9567
East Hampton,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
East Hampton,Capital Projects/Transportation,LoCIP,92551
East Hampton,Capital Projects/Transportation,Town Aid Road,323375.49
East Hampton,Capital Projects/Transportation,Bus Operations,13432.5
East Hampton,Property Tax,Elderly Circuit Breaker,45252.69
East Hampton,Property Tax,State Property PILOT,107111
East Hampton,Property Tax,Veterans' Exemption,4773.57
East Hampton,Property Tax,Disability Exemption,1266.99
East Hampton,Property Tax,Pequot Grants,59349.21
East Hampton,Property Tax,Grants For Municipal Projects,17816
East Haddam,Education,Child Nutrition State Match,3640
East Haddam,Education,School Construction,795346
East Haddam,Education,School Breakfast,6066
East Haddam,Education,Excess Cost- Student Based,371193
East Haddam,Education,Education Cost Sharing,3766860
East Haddam,Education,Public School Transportation,58799
East Haddam,Education,Youth Service Bureaus,18937
East Haddam,Education,Adult Education,5062
East Haddam,Property Tax,Elderly Circuit Breaker,64996.82
East Haddam,Property Tax,State Property PILOT,28551.62
East Haddam,Property Tax,Veterans' Exemption,5290.52
East Haddam,Property Tax,Disability Exemption,641.66
East Haddam,Property Tax,Pequot Grants,26978.1
East Haddam,Property Tax,Grants For Municipal Projects,1595
East Haddam,Capital Projects/Transportation,LoCIP,89171
East Haddam,Capital Projects/Transportation,Town Aid Road,334397.13
Derby,Education,Child Nutrition State Match,8000
Derby,Education,School Breakfast,12889
Derby,Education,Excess Cost- Student Based,305840
Derby,Education,Education Cost Sharing,7636536
Derby,Education,Public School Transportation,86420
Derby,Education,Nonpublic School Transportation,7417
Derby,Education,Youth Service Bureaus,18937
Derby,Education,Adult Education,125916
Derby,Public Health/Social Services,Healthy Foods Initiative,16374
Derby,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,6997
Derby,Property Tax,Colleges &amp; Hospitals PILOT,870460.25
Derby,Property Tax,Elderly Circuit Breaker,100000.08
Derby,Property Tax,State Property PILOT,42387.25
Derby,Property Tax,Veterans' Exemption,24953.39
Derby,Property Tax,Disability Exemption,3117.37
Derby,Property Tax,Pequot Grants,253404.23
Derby,Property Tax,Grants For Municipal Projects,13852
Derby,Capital Projects/Transportation,LoCIP,106189
Derby,Capital Projects/Transportation,Town Aid Road,266644.7
Derby,Capital Projects/Transportation,Distressed Municipalities,6246.58
Derby,Capital Projects/Transportation,Urban Action Grants,0
Deep River,Education,Child Nutrition State Match,1423
Deep River,Education,School Breakfast,1697
Deep River,Education,Excess Cost- Student Based,115517
Deep River,Education,Education Cost Sharing,1713587
Deep River,Education,Public School Transportation,9714
Deep River,Public Health/Social Services,Healthy Foods Initiative,2913
Deep River,Property Tax,Elderly Circuit Breaker,36770.21
Deep River,Property Tax,State Property PILOT,10215.32
Deep River,Property Tax,Veterans' Exemption,3364.34
Deep River,Property Tax,Disability Exemption,287.26
Deep River,Property Tax,Pequot Grants,13628.74
Deep River,Property Tax,Grants For Municipal Projects,97940
Deep River,Capital Projects/Transportation,LoCIP,32011
Deep River,Capital Projects/Transportation,Town Aid Road,199114.34
Cromwell,Education,Child Nutrition State Match,8304
Cromwell,Education,School Construction,347537
Cromwell,Education,OPEN Choice,419877
Cromwell,Education,School Breakfast,12508
Cromwell,Education,Magnet Schools,2000
Cromwell,Education,Excess Cost- Student Based,347090
Cromwell,Education,Education Cost Sharing,4466977
Cromwell,Education,Public School Transportation,46478
Cromwell,Education,Youth Service Bureaus,18937
Cromwell,Education,Adult Education,13606
Cromwell,Property Tax,Colleges &amp; Hospitals PILOT,51354.84
Cromwell,Property Tax,Elderly Circuit Breaker,75968
Cromwell,Property Tax,State Property PILOT,14088.57
Cromwell,Property Tax,Veterans' Exemption,4359.09
Cromwell,Property Tax,Disability Exemption,839.88
Cromwell,Property Tax,Pequot Grants,41709.56
Cromwell,Property Tax,Grants For Municipal Projects,30972.31
Cromwell,Capital Projects/Transportation,LoCIP,84232
Cromwell,Capital Projects/Transportation,Town Aid Road,276637.43
Cromwell,Capital Projects/Transportation,Bus Operations,21351.25
Coventry,Education,Child Nutrition State Match,7311
Coventry,Education,School Construction,59822
Coventry,Education,School Breakfast,12398
Coventry,Education,Excess Cost- Student Based,842669
Coventry,Education,Education Cost Sharing,8974835
Coventry,Education,Public School Transportation,151514
Coventry,Education,Youth Service Bureaus,19457
Coventry,Education,Adult Education,12368
Coventry,Public Health/Social Services,Healthy Foods Initiative,14963
Coventry,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),475000
Coventry,Capital Projects/Transportation,LoCIP,103801
Coventry,Capital Projects/Transportation,Town Aid Road,292762.46
Coventry,Capital Projects/Transportation,Bus Operations,26012
Coventry,Property Tax,Elderly Circuit Breaker,63265.56
Coventry,Property Tax,State Property PILOT,46274.27
Coventry,Property Tax,Veterans' Exemption,8352.72
Coventry,Property Tax,Disability Exemption,1453.96
Coventry,Property Tax,Pequot Grants,47323.98
Coventry,Property Tax,Grants For Municipal Projects,9906
Columbia,Education,Child Nutrition State Match,1675
Columbia,Education,School Construction,177123.92
Columbia,Education,Excess Cost- Student Based,160998
Columbia,Education,Education Cost Sharing,2507669
Columbia,Education,Public School Transportation,40585
Columbia,Education,Youth Service Bureaus,17259
Columbia,Education,Adult Education,2379
Columbia,Public Health/Social Services,Healthy Foods Initiative,3428
Columbia,Property Tax,Elderly Circuit Breaker,32273.13
Columbia,Property Tax,State Property PILOT,7044.78
Columbia,Property Tax,Veterans' Exemption,2734.17
Columbia,Property Tax,Disability Exemption,788.81
Columbia,Property Tax,Pequot Grants,19167.11
Columbia,Property Tax,Grants For Municipal Projects,25171
Columbia,Capital Projects/Transportation,LoCIP,40013
Columbia,Capital Projects/Transportation,Town Aid Road,205826.25
Colebrook,Education,Child Nutrition State Match,566
Colebrook,Education,School Construction,77603
Colebrook,Education,Education Cost Sharing,507229
Colebrook,Education,Public School Transportation,3336
Colebrook,Education,Adult Education,311
Colebrook,Public Health/Social Services,Healthy Foods Initiative,1158
Colebrook,Property Tax,Elderly Circuit Breaker,9360.23
Colebrook,Property Tax,State Property PILOT,25011.51
Colebrook,Property Tax,Veterans' Exemption,3731.01
Colebrook,Property Tax,Disability Exemption,238.77
Colebrook,Property Tax,Pequot Grants,8400.49
Colebrook,Property Tax,Grants For Municipal Projects,517
Colebrook,Capital Projects/Transportation,LoCIP,25087
Colebrook,Capital Projects/Transportation,Town Aid Road,200863.27
Colchester,Education,Child Nutrition State Match,9112
Colchester,Education,School Breakfast,9502
Colchester,Education,Excess Cost- Student Based,746971
Colchester,Education,Education Cost Sharing,13752393
Colchester,Education,Public School Transportation,186936
Colchester,Education,Youth Service Bureaus,23770
Colchester,Education,Adult Education,29515
Colchester,Public Health/Social Services,Healthy Foods Initiative,18651
Colchester,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),350000
Colchester,Capital Projects/Transportation,LoCIP,118690
Colchester,Capital Projects/Transportation,Town Aid Road,347587.55
Colchester,Capital Projects/Transportation,Urban Action Grants,0
Colchester,Capital Projects/Transportation,Bus Operations,33320
Colchester,Property Tax,Elderly Circuit Breaker,48325.53
Colchester,Property Tax,State Property PILOT,52350.61
Colchester,Property Tax,Veterans' Exemption,7960.43
Colchester,Property Tax,Disability Exemption,1894.18
Colchester,Property Tax,Pequot Grants,67827.6
Colchester,Property Tax,Grants For Municipal Projects,36688
Clinton,Education,Child Nutrition State Match,5289
Clinton,Education,School Breakfast,6307
Clinton,Education,Excess Cost- Student Based,426792
Clinton,Education,Education Cost Sharing,6510363
Clinton,Education,Public School Transportation,49886
Clinton,Education,Youth Service Bureaus,18937
Clinton,Education,Adult Education,22246
Clinton,Public Health/Social Services,Healthy Foods Initiative,10825
Clinton,Property Tax,Elderly Circuit Breaker,119859.94
Clinton,Property Tax,State Property PILOT,33631.96
Clinton,Property Tax,Veterans' Exemption,17050.82
Clinton,Property Tax,Disability Exemption,1097.81
Clinton,Property Tax,Pequot Grants,37790.94
Clinton,Property Tax,Elderly Freeze,2000
Clinton,Property Tax,Grants For Municipal Projects,180269
Clinton,Capital Projects/Transportation,LoCIP,84895
Clinton,Capital Projects/Transportation,Town Aid Road,270251.56
Clinton,Capital Projects/Transportation,Urban Action Grants,0
Chester,Education,Child Nutrition State Match,921
Chester,Education,School Breakfast,1697
Chester,Education,Education Cost Sharing,670370
Chester,Education,Public School Transportation,3920
Chester,Public Health/Social Services,Healthy Foods Initiative,1884
Chester,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),450000
Chester,Capital Projects/Transportation,LoCIP,27864
Chester,Capital Projects/Transportation,Town Aid Road,186332.54
Chester,Property Tax,Elderly Circuit Breaker,21723.69
Chester,Property Tax,State Property PILOT,13494.61
Chester,Property Tax,Veterans' Exemption,2398.83
Chester,Property Tax,Disability Exemption,232.07
Chester,Property Tax,Pequot Grants,11782.41
Chester,Property Tax,Grants For Municipal Projects,83953
Cheshire,Education,Child Nutrition State Match,17301
Cheshire,Education,School Construction,352541.91
Cheshire,Education,OPEN Choice,101076
Cheshire,Education,Magnet Schools,9100
Cheshire,Education,Excess Cost- Student Based,712965
Cheshire,Education,Education Cost Sharing,9417401
Cheshire,Education,Public School Transportation,166564
Cheshire,Education,Nonpublic School Transportation,41480
Cheshire,Education,Youth Service Bureaus,24050
Cheshire,Education,Adult Education,29633
Cheshire,Public Health/Social Services,Healthy Foods Initiative,35410
Cheshire,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,14937
Cheshire,Public Health/Social Services,Early Intervention,301684.74
Cheshire,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Cheshire,Capital Projects/Transportation,LoCIP,184416
Cheshire,Capital Projects/Transportation,Town Aid Road,404049.68
Cheshire,Capital Projects/Transportation,Urban Action Grants,0
Cheshire,Property Tax,Colleges &amp; Hospitals PILOT,123840.65
Cheshire,Property Tax,Elderly Circuit Breaker,170940.32
Cheshire,Property Tax,State Property PILOT,1962731.25
Cheshire,Property Tax,Veterans' Exemption,11973.47
Cheshire,Property Tax,Disability Exemption,1823.8
Cheshire,Property Tax,Pequot Grants,1984704.56
Cheshire,Property Tax,Grants For Municipal Projects,692865
Cheshire,Property Tax,Municipal Aid Adjustment,3531.1
Chaplin,Education,Child Nutrition State Match,952
Chaplin,Education,School Breakfast,3097
Chaplin,Education,Education Cost Sharing,1893336
Chaplin,Education,Public School Transportation,29495
Chaplin,Education,Adult Education,2982
Chaplin,Public Health/Social Services,Healthy Foods Initiative,1949
Chaplin,Property Tax,Elderly Circuit Breaker,19076.53
Chaplin,Property Tax,State Property PILOT,62340.06
Chaplin,Property Tax,Veterans' Exemption,393.15
Chaplin,Property Tax,Disability Exemption,345.33
Chaplin,Property Tax,Pequot Grants,83102.43
Chaplin,Property Tax,Grants For Municipal Projects,565
Chaplin,Capital Projects/Transportation,LoCIP,27498
Chaplin,Capital Projects/Transportation,Town Aid Road,189162.46
Canton,Education,Child Nutrition State Match,4161
Canton,Education,OPEN Choice,644597
Canton,Education,School Breakfast,2582
Canton,Education,Excess Cost- Student Based,539229
Canton,Education,Education Cost Sharing,3419549
Canton,Education,Public School Transportation,41570
Canton,Education,Youth Service Bureaus,18937
Canton,Education,Adult Education,2470
Canton,Public Health/Social Services,Healthy Foods Initiative,8518
Canton,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Canton,Capital Projects/Transportation,LoCIP,68641
Canton,Capital Projects/Transportation,Town Aid Road,260786.5
Canton,Capital Projects/Transportation,Bus Operations,24301
Canton,Property Tax,Elderly Circuit Breaker,61127.73
Canton,Property Tax,State Property PILOT,27665.36
Canton,Property Tax,Veterans' Exemption,2418.44
Canton,Property Tax,Disability Exemption,829.83
Canton,Property Tax,Pequot Grants,22155.38
Canton,Property Tax,Grants For Municipal Projects,7518
Canterbury,Education,Child Nutrition State Match,1837
Canterbury,Education,School Breakfast,6116
Canterbury,Education,Excess Cost- Student Based,280171
Canterbury,Education,Education Cost Sharing,4740458
Canterbury,Education,Public School Transportation,93078
Canterbury,Education,Adult Education,13084
Canterbury,Public Health/Social Services,Healthy Foods Initiative,3760
Canterbury,Property Tax,Elderly Circuit Breaker,36709.76
Canterbury,Property Tax,State Property PILOT,9766.53
Canterbury,Property Tax,Veterans' Exemption,6594.62
Canterbury,Property Tax,Disability Exemption,783.88
Canterbury,Property Tax,Pequot Grants,33623.2
Canterbury,Property Tax,Grants For Municipal Projects,1902
Canterbury,Capital Projects/Transportation,LoCIP,54976
Canterbury,Capital Projects/Transportation,Town Aid Road,224597.74
Brooklyn,Education,Child Nutrition State Match,4112
Brooklyn,Education,School Construction,1307548.29
Brooklyn,Education,School Breakfast,6448
Brooklyn,Education,Magnet Schools,21749
Brooklyn,Education,Excess Cost- Student Based,388246
Brooklyn,Education,Education Cost Sharing,7094411
Brooklyn,Education,Public School Transportation,129086
Brooklyn,Education,Adult Education,34860
Brooklyn,Public Health/Social Services,Healthy Foods Initiative,8416
Brooklyn,Property Tax,Elderly Circuit Breaker,49835.62
Brooklyn,Property Tax,State Property PILOT,142639.48
Brooklyn,Property Tax,Veterans' Exemption,5069.31
Brooklyn,Property Tax,Disability Exemption,837.71
Brooklyn,Property Tax,Pequot Grants,245187.07
Brooklyn,Property Tax,Elderly Freeze,1459.75
Brooklyn,Property Tax,Grants For Municipal Projects,9761
Brooklyn,Capital Projects/Transportation,LoCIP,73843
Brooklyn,Capital Projects/Transportation,Town Aid Road,241683.14
Brooklyn,Capital Projects/Transportation,Urban Action Grants,150000
Brookfield,Education,Child Nutrition State Match,6687
Brookfield,Education,School Construction,440267.25
Brookfield,Education,Magnet Schools,55900
Brookfield,Education,Excess Cost- Student Based,997842
Brookfield,Education,Education Cost Sharing,1615266
Brookfield,Education,Public School Transportation,29550
Brookfield,Education,Nonpublic School Transportation,2652
Brookfield,Education,Adult Education,3522
Brookfield,Public Health/Social Services,Healthy Foods Initiative,13687
Brookfield,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,6925
Brookfield,Property Tax,Elderly Circuit Breaker,100102.14
Brookfield,Property Tax,State Property PILOT,27360.26
Brookfield,Property Tax,Veterans' Exemption,8613.21
Brookfield,Property Tax,Disability Exemption,1521.78
Brookfield,Property Tax,Pequot Grants,22495.23
Brookfield,Property Tax,Grants For Municipal Projects,111243
Brookfield,Capital Projects/Transportation,LoCIP,103819
Brookfield,Capital Projects/Transportation,Town Aid Road,302816.14
Brookfield,Capital Projects/Transportation,Urban Action Grants,0
Bozrah,Education,Child Nutrition State Match,1022
Bozrah,Education,School Construction,153132.59
Bozrah,Education,School Breakfast,3102
Bozrah,Education,Excess Cost- Student Based,75655
Bozrah,Education,Education Cost Sharing,1218851
Bozrah,Education,Public School Transportation,14385
Bozrah,Education,Adult Education,4820
Bozrah,Property Tax,Elderly Circuit Breaker,24399.39
Bozrah,Property Tax,State Property PILOT,4619.26
Bozrah,Property Tax,Veterans' Exemption,1768.27
Bozrah,Property Tax,Disability Exemption,346.92
Bozrah,Property Tax,Pequot Grants,16481.33
Bozrah,Property Tax,Grants For Municipal Projects,130279
Bozrah,Capital Projects/Transportation,LoCIP,26180
Bozrah,Capital Projects/Transportation,Town Aid Road,181771.86
Bolton,Education,Child Nutrition State Match,2487
Bolton,Education,OPEN Choice,342259
Bolton,Education,School Breakfast,3038
Bolton,Education,Excess Cost- Student Based,249465
Bolton,Education,Education Cost Sharing,3036036
Bolton,Education,Public School Transportation,26268
Bolton,Education,Adult Education,3644
Bolton,Property Tax,Elderly Circuit Breaker,31702.96
Bolton,Property Tax,State Property PILOT,38025.35
Bolton,Property Tax,Veterans' Exemption,4884.04
Bolton,Property Tax,Disability Exemption,709.22
Bolton,Property Tax,Pequot Grants,17834.76
Bolton,Property Tax,Grants For Municipal Projects,23380
Bolton,Capital Projects/Transportation,LoCIP,38093
Bolton,Capital Projects/Transportation,Town Aid Road,200674.51
Bolton,Capital Projects/Transportation,Bus Operations,5747
Bolton,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,38
Bethel,Education,Child Nutrition State Match,11263
Bethel,Education,School Breakfast,16440
Bethel,Education,Magnet Schools,21600
Bethel,Education,Excess Cost- Student Based,705117
Bethel,Education,Education Cost Sharing,8248659
Bethel,Education,Public School Transportation,100164
Bethel,Education,Nonpublic School Transportation,17668
Bethel,Education,Adult Education,12917
Bethel,Public Health/Social Services,Healthy Foods Initiative,23053
Bethel,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,6285
Bethel,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),430000
Bethel,Capital Projects/Transportation,LoCIP,119373
Bethel,Capital Projects/Transportation,Town Aid Road,315941.86
Bethel,Capital Projects/Transportation,Urban Action Grants,0
Bethel,Property Tax,Colleges &amp; Hospitals PILOT,15782.82
Bethel,Property Tax,Elderly Circuit Breaker,125430.36
Bethel,Property Tax,State Property PILOT,25209.82
Bethel,Property Tax,Veterans' Exemption,10069.46
Bethel,Property Tax,Disability Exemption,2248.04
Bethel,Property Tax,Pequot Grants,46704.29
Bethel,Property Tax,DECD Tax Abatement,30535
Bethel,Property Tax,Grants For Municipal Projects,265841
Bethany,Education,Child Nutrition State Match,1286
Bethany,Education,School Construction,149826.39
Bethany,Education,OPEN Choice,15000
Bethany,Education,Excess Cost- Student Based,3614
Bethany,Education,Education Cost Sharing,2048864
Bethany,Education,Public School Transportation,8631
Bethany,Public Health/Social Services,Healthy Foods Initiative,2632
Bethany,Property Tax,Colleges &amp; Hospitals PILOT,15055.77
Bethany,Property Tax,Elderly Circuit Breaker,31843.09
Bethany,Property Tax,State Property PILOT,34257.9
Bethany,Property Tax,Veterans' Exemption,5530.66
Bethany,Property Tax,Disability Exemption,234.72
Bethany,Property Tax,Pequot Grants,17533.15
Bethany,Property Tax,Grants For Municipal Projects,63229
Bethany,Capital Projects/Transportation,LoCIP,47173
Bethany,Capital Projects/Transportation,Town Aid Road,211337.61
Bethany,Capital Projects/Transportation,Urban Action Grants,0
Berlin,Education,Child Nutrition State Match,9398
Berlin,Education,School Construction,11046291
Berlin,Education,OPEN Choice,721325
Berlin,Education,School Breakfast,9593
Berlin,Education,Excess Cost- Student Based,492133
Berlin,Education,Education Cost Sharing,6308120
Berlin,Education,Public School Transportation,78577
Berlin,Education,Nonpublic School Transportation,6930
Berlin,Education,Youth Service Bureaus,20172
Berlin,Education,Adult Education,12293
Berlin,Property Tax,Elderly Circuit Breaker,111693.21
Berlin,Property Tax,State Property PILOT,24302.41
Berlin,Property Tax,Veterans' Exemption,12485.97
Berlin,Property Tax,Disability Exemption,2610.87
Berlin,Property Tax,Pequot Grants,48352.73
Berlin,Property Tax,Elderly Freeze,2000
Berlin,Property Tax,Grants For Municipal Projects,751200.16
Berlin,Capital Projects/Transportation,LoCIP,125634
Berlin,Capital Projects/Transportation,Town Aid Road,327928.02
Berlin,Capital Projects/Transportation,Urban Action Grants,0
Berlin,Capital Projects/Transportation,Bus Operations,28589.25
Berlin,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,26545
Barkhamsted,Education,Child Nutrition State Match,1045
Barkhamsted,Education,Excess Cost- Student Based,13497
Barkhamsted,Education,Education Cost Sharing,1657263
Barkhamsted,Education,Public School Transportation,22905
Barkhamsted,Education,Adult Education,1723
Barkhamsted,Public Health/Social Services,Healthy Foods Initiative,2140
Barkhamsted,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Barkhamsted,Capital Projects/Transportation,LoCIP,36655
Barkhamsted,Capital Projects/Transportation,Town Aid Road,196060.73
Barkhamsted,Property Tax,Elderly Circuit Breaker,20482.73
Barkhamsted,Property Tax,State Property PILOT,16897.42
Barkhamsted,Property Tax,Veterans' Exemption,2713.76
Barkhamsted,Property Tax,Disability Exemption,235.12
Barkhamsted,Property Tax,Pequot Grants,14403.18
Barkhamsted,Property Tax,Grants For Municipal Projects,41346.47
Avon,Education,Child Nutrition State Match,9350
Avon,Education,OPEN Choice,752116
Avon,Education,Excess Cost- Student Based,1181621
Avon,Education,Education Cost Sharing,1232052
Avon,Education,Public School Transportation,18261
Avon,Education,Youth Service Bureaus,20172
Avon,Education,Adult Education,2033
Avon,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),450000
Avon,Capital Projects/Transportation,LoCIP,109484
Avon,Capital Projects/Transportation,Town Aid Road,310738.66
Avon,Property Tax,Elderly Circuit Breaker,79858.55
Avon,Property Tax,State Property PILOT,86888.52
Avon,Property Tax,Veterans' Exemption,4582.87
Avon,Property Tax,Disability Exemption,1020.11
Avon,Property Tax,Pequot Grants,14906.53
Avon,Property Tax,Grants For Municipal Projects,245886
Ashford,Education,Child Nutrition State Match,1905
Ashford,Education,School Construction,100411.93
Ashford,Education,School Breakfast,3127
Ashford,Education,Excess Cost- Student Based,85641
Ashford,Education,Education Cost Sharing,3935903
Ashford,Education,Public School Transportation,63554
Ashford,Education,Youth Service Bureaus,17259
Ashford,Public Health/Social Services,Healthy Foods Initiative,3898
Ashford,Property Tax,Elderly Circuit Breaker,19464.29
Ashford,Property Tax,State Property PILOT,5628.54
Ashford,Property Tax,Veterans' Exemption,1659.76
Ashford,Property Tax,Disability Exemption,1087.54
Ashford,Property Tax,Pequot Grants,23609.85
Ashford,Property Tax,Grants For Municipal Projects,3369
Ashford,Capital Projects/Transportation,LoCIP,51057
Ashford,Capital Projects/Transportation,Town Aid Road,290968.64
Ashford,Capital Projects/Transportation,Urban Action Grants,0
Ansonia,Education,Child Nutrition State Match,15911
Ansonia,Education,School Construction,1796898.4
Ansonia,Education,OPEN Choice,12712
Ansonia,Education,School Breakfast,15384
Ansonia,Education,Magnet Schools,450
Ansonia,Education,Excess Cost- Student Based,849749
Ansonia,Education,Education Cost Sharing,15824433
Ansonia,Education,Public School Transportation,142355
Ansonia,Education,Nonpublic School Transportation,29152
Ansonia,Education,Priority School Districts,480184
Ansonia,Education,School Accountability- Summer School,44771
Ansonia,Education,Youth Service Bureaus,22656
Ansonia,Education,Adult Education,106985
Ansonia,Public Health/Social Services,Healthy Foods Initiative,30354
Ansonia,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,11461
Ansonia,Property Tax,Elderly Circuit Breaker,138882.74
Ansonia,Property Tax,State Property PILOT,94496.74
Ansonia,Property Tax,Veterans' Exemption,29582.93
Ansonia,Property Tax,Disability Exemption,2952.43
Ansonia,Property Tax,Pequot Grants,164987.68
Ansonia,Property Tax,Elderly Freeze,2000
Ansonia,Property Tax,DECD Tax Abatement,11330
Ansonia,Property Tax,Grants For Municipal Projects,80336
Ansonia,Capital Projects/Transportation,LoCIP,178918
Ansonia,Capital Projects/Transportation,Town Aid Road,319696.84
Ansonia,Capital Projects/Transportation,Distressed Municipalities,1586.48
Ansonia,Capital Projects/Transportation,Urban Action Grants,0
Somers,Education,School Construction,25610.52
Somers,Education,OPEN Choice,59585
Somers,Education,Excess Cost- Student Based,544736
Somers,Education,Education Cost Sharing,6014799
Somers,Education,Public School Transportation,78274
Somers,Education,Adult Education,10744
Somers,Property Tax,Elderly Circuit Breaker,59398.93
Somers,Property Tax,State Property PILOT,1379315.97
Somers,Property Tax,Veterans' Exemption,10814.3
Somers,Property Tax,Disability Exemption,576.53
Somers,Property Tax,Pequot Grants,1562239.36
Somers,Property Tax,Elderly Freeze,2000
Somers,Property Tax,Grants For Municipal Projects,77426
Somers,Capital Projects/Transportation,LoCIP,88743
Somers,Capital Projects/Transportation,Town Aid Road,270095.76
Somers,Capital Projects/Transportation,Bus Operations,21615
New Canaan,Education,School Construction,309861.64
New Canaan,Education,Excess Cost- Student Based,775498
New Canaan,Education,Education Cost Sharing,1624226
New Canaan,Education,Public School Transportation,290
New Canaan,Education,Youth Service Bureaus,20590
New Canaan,Education,Adult Education,27
New Canaan,Education,Child Care Services,123327.57
New Canaan,Property Tax,Elderly Circuit Breaker,29300.89
New Canaan,Property Tax,State Property PILOT,42306.05
New Canaan,Property Tax,Veterans' Exemption,1338.76
New Canaan,Property Tax,Disability Exemption,154.26
New Canaan,Property Tax,Pequot Grants,7291.6
New Canaan,Property Tax,Grants For Municipal Projects,188
New Canaan,Capital Projects/Transportation,LoCIP,115796
New Canaan,Capital Projects/Transportation,Town Aid Road,330353.25
New Canaan,Capital Projects/Transportation,Bus Operations,25399
New Canaan,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,16997
Easton,Education,School Construction,220123
Easton,Education,OPEN Choice,46599
Easton,Education,Excess Cost- Student Based,509342
Easton,Education,Education Cost Sharing,622784
Easton,Education,Public School Transportation,290
Easton,Education,Adult Education,182
Easton,Property Tax,Elderly Circuit Breaker,34162.74
Easton,Property Tax,State Property PILOT,58715.81
Easton,Property Tax,Veterans' Exemption,7955.73
Easton,Property Tax,Disability Exemption,103.27
Easton,Property Tax,Pequot Grants,8567.91
Easton,Property Tax,Grants For Municipal Projects,2502
Easton,Capital Projects/Transportation,LoCIP,66778
Easton,Capital Projects/Transportation,Town Aid Road,227623.27
Easton,Capital Projects/Transportation,Bus Operations,19995
Eastford,Education,School Construction,168676
Eastford,Education,Magnet Schools,1300
Eastford,Education,Education Cost Sharing,1116844
Eastford,Education,Public School Transportation,19617
Eastford,Education,Adult Education,1959
Eastford,Property Tax,Elderly Circuit Breaker,14719.76
Eastford,Property Tax,State Property PILOT,6659.47
Eastford,Property Tax,Veterans' Exemption,431.88
Eastford,Property Tax,Disability Exemption,113.66
Eastford,Property Tax,Pequot Grants,13098.98
Eastford,Property Tax,Grants For Municipal Projects,51317
Eastford,Capital Projects/Transportation,LoCIP,23050
Eastford,Capital Projects/Transportation,Town Aid Road,175099
East Granby,Education,School Construction,776751
East Granby,Education,OPEN Choice,444688
East Granby,Education,Excess Cost- Student Based,162719
East Granby,Education,Education Cost Sharing,1366004
East Granby,Education,Public School Transportation,16475
East Granby,Education,Youth Service Bureaus,17259
East Granby,Education,Adult Education,1264
East Granby,Property Tax,Elderly Circuit Breaker,24325.42
East Granby,Property Tax,State Property PILOT,762572.84
East Granby,Property Tax,Veterans' Exemption,4367.76
East Granby,Property Tax,Disability Exemption,149.08
East Granby,Property Tax,Pequot Grants,15693.3
East Granby,Property Tax,Grants For Municipal Projects,505475
East Granby,Capital Projects/Transportation,LoCIP,34837
East Granby,Capital Projects/Transportation,Town Aid Road,201792.14
East Granby,Capital Projects/Transportation,Distressed Municipalities,6126.51
Darien,Education,School Construction,327306.61
Darien,Education,Excess Cost- Student Based,2506963
Darien,Education,Education Cost Sharing,1651109
Darien,Education,Public School Transportation,289
Darien,Education,Adult Education,75
Darien,Property Tax,Elderly Circuit Breaker,69585.44
